artifact_id,field,value
BS-BBL-OPER-2567-11,L0_account_id,
BS-BBL-OPER-2567-11,L0_bank,
BS-BBL-OPER-2567-11,L0_account_number,
BS-BBL-OPER-2567-11,L0_account_role,
BS-BBL-OPER-2567-11,L0_currency,
BS-BBL-OPER-2567-11,L1_BT-202411-764314082696_business_event_date,
BS-BBL-OPER-2567-11,L1_BT-202411-764314082696_transaction_type,
BS-BBL-OPER-2567-11,L1_BT-202411-764314082696_amount_thb,
BS-BBL-OPER-2567-11,L1_BT-202411-764314082696_balance_after_thb,
BS-BBL-OPER-2567-11,L1_BT-202411-764314082696_description,
BS-BBL-OPER-2567-11,L1_BT-202411-764314082696_account_id,
