artifact_id,field,value
BS-BBL-OPER-2567-11,L0_account_id,BBL-OPER
BS-BBL-OPER-2567-11,L0_bank,BBL
BS-BBL-OPER-2567-11,L0_account_number,003-1-00001-3
BS-BBL-OPER-2567-11,L0_account_role,SAVINGS
BS-BBL-OPER-2567-11,L0_currency,THB
BS-BBL-OPER-2567-11,L1_BT-202411-764314082696_business_event_date,05-11-24
BS-BBL-OPER-2567-11,L1_BT-202411-764314082696_transaction_type,Withdrawal
BS-BBL-OPER-2567-11,L1_BT-202411-764314082696_amount_thb,"500,000.00"
BS-BBL-OPER-2567-11,L1_BT-202411-764314082696_balance_after_thb,"2,500,000.00"
BS-BBL-OPER-2567-11,L1_BT-202411-764314082696_description,โอนเงิน K PLUS
BS-BBL-OPER-2567-11,L1_BT-202411-764314082696_account_id,BBL-OPER
